volume,tipo,caratteri
V018,C-illusione/speranza,
V018,C-incontro animale,
V018,C-incontro di gruppo,
V018,C-incontro femminile,
V018,C-incontro maschile,
V018,C-iniziativa/piano,
V018,C-inseguimento/ricerca,
V018,S-metanarrazione,
V018,C-partenza/sparizione,
V018,C-pausa/sospensione,
V018,S-racconto incastonato,103640
V018,C-riflessione,
V018,C-rivelazione,
V018,C-smarrimento/dubbio,
V018,S-struttura,
V018,C-viaggio,
V019,C-aggressione/scontro,
V019,C-angoscia/delusione,
V019,C-arrivo,
V019,C-attesa,
V019,C-compito/missione,
V019,S-cornice,8886
V019,C-illusione/speranza,
V019,C-incontro animale,
V019,C-incontro di gruppo,
V019,C-incontro femminile,
V019,C-incontro maschile,
V019,C-iniziativa/piano,
V019,C-inseguimento/ricerca,
V019,S-metanarrazione,
V019,C-partenza/sparizione,
V019,C-pausa/sospensione,
V019,S-racconto incastonato,146854
V019,C-riflessione,
V019,C-rivelazione,
V019,C-smarrimento/dubbio,
V019,S-struttura,
V019,C-viaggio,
V021,C-aggressione/scontro,
V021,C-angoscia/delusione,
V021,C-arrivo,
V021,C-attesa,
V021,C-compito/missione,
V021,S-cornice,
V021,C-illusione/speranza,
V021,C-incontro animale,
V021,C-incontro di gruppo,38806
V021,C-incontro femminile,67960
V021,C-incontro maschile,72409
V021,C-iniziativa/piano,
V021,C-inseguimento/ricerca,
V021,S-metanarrazione,
V021,C-partenza/sparizione,
V021,C-pausa/sospensione,
V021,S-racconto incastonato,143892
V021,C-riflessione,
V021,C-rivelazione,
V021,C-smarrimento/dubbio,
V021,S-struttura,
V021,C-viaggio,
