volume,tipo,caratteri
V018,Contenuto-aggressione/scontro,
V018,Contenuto-angoscia/delusione,
V018,Contenuto-arrivo,
V018,Contenuto-attesa,
V018,Contenuto-compito/missione,
V018,Contenuto-illusione/speranza,
V018,Contenuto-incontro di gruppo,
V018,Contenuto-incontro femminile,
V018,Contenuto-incontro maschile,
V018,Contenuto-iniziativa/piano,
V018,Contenuto-inseguimento/ricerca,
V018,Contenuto-partenza/sparizione,
V018,Contenuto-pausa/sospensione,
V018,Contenuto-riflessione,
V018,Contenuto-rivelazione,
V018,Contenuto-smarrimento/dubbio,
V018,Contenuto-viaggio,
V019,Contenuto-aggressione/scontro,
V019,Contenuto-angoscia/delusione,
V019,Contenuto-arrivo,
V019,Contenuto-attesa,
V019,Contenuto-compito/missione,
V019,Contenuto-illusione/speranza,
V019,Contenuto-incontro di gruppo,
V019,Contenuto-incontro femminile,
V019,Contenuto-incontro maschile,
V019,Contenuto-iniziativa/piano,
V019,Contenuto-inseguimento/ricerca,
V019,Contenuto-partenza/sparizione,
V019,Contenuto-pausa/sospensione,
V019,Contenuto-riflessione,
V019,Contenuto-rivelazione,
V019,Contenuto-smarrimento/dubbio,
V019,Contenuto-viaggio,
V021,Contenuto-aggressione/scontro,
V021,Contenuto-angoscia/delusione,
V021,Contenuto-arrivo,
V021,Contenuto-attesa,
V021,Contenuto-compito/missione,
V021,Contenuto-illusione/speranza,
V021,Contenuto-incontro di gruppo,38806
V021,Contenuto-incontro femminile,67960
V021,Contenuto-incontro maschile,72409
V021,Contenuto-iniziativa/piano,
V021,Contenuto-inseguimento/ricerca,
V021,Contenuto-partenza/sparizione,
V021,Contenuto-pausa/sospensione,
V021,Contenuto-riflessione,
V021,Contenuto-rivelazione,
V021,Contenuto-smarrimento/dubbio,
V021,Contenuto-viaggio,
V005,Struttura-cornice,
V005,Struttura-racconto incastonato,30477
V005,Struttura-struttura,
V007,Struttura-cornice,
V007,Struttura-racconto incastonato,
V007,Struttura-struttura,
V008,Struttura-cornice,16020
V008,Struttura-racconto incastonato,
V008,Struttura-struttura,
V009,Struttura-cornice,
V009,Struttura-racconto incastonato,
V009,Struttura-struttura,
V010,Struttura-cornice,
V010,Struttura-racconto incastonato,
V010,Struttura-struttura,
V011,Struttura-cornice,
V011,Struttura-racconto incastonato,
V011,Struttura-struttura,202220
V013,Struttura-cornice,
V013,Struttura-racconto incastonato,
V013,Struttura-struttura,254069
V014,Struttura-cornice,
V014,Struttura-racconto incastonato,
V014,Struttura-struttura,221544
V016,Struttura-cornice,5655
V016,Struttura-racconto incastonato,52486
V016,Struttura-struttura,
V018,Struttura-cornice,42639
V018,Struttura-racconto incastonato,103640
V018,Struttura-struttura,
V019,Struttura-cornice,8886
V019,Struttura-racconto incastonato,146854
V019,Struttura-struttura,
V021,Struttura-cornice,
V021,Struttura-racconto incastonato,143892
V021,Struttura-struttura,
V005,#N/A,11571
V007,#N/A,
V008,#N/A,
V009,#N/A,
V010,#N/A,211
V011,#N/A,
V013,#N/A,
V014,#N/A,
V016,#N/A,
V018,#N/A,
V019,#N/A,
V021,#N/A,
